date,daily_ccy_rank_spread_60,daily_ccy_spread_z_60,daily_ccy_eur_rank_60,daily_ccy_usd_rank_60,daily_ccy_usd_breadth_60,daily_ccy_rank_spread_250,daily_ccy_spread_z_250,daily_ccy_eur_rank_250,daily_ccy_usd_rank_250,daily_ccy_usd_breadth_250,daily_ccy_dispersion_pct
2019-05-01,-0.375,-1.5716691378995322,0.5,0.875,0.8571428571428571,-0.75,-2.6999043935063627,0.25,1.0,1.0,0.004008016032064128
2019-05-02,-0.375,-1.836151558416836,0.5,0.875,0.8571428571428571,-0.75,-2.6712367409769713,0.25,1.0,1.0,0.0
2019-05-03,-0.25,-1.0208076694881691,0.625,0.875,0.8571428571428571,-0.75,-2.689583565580664,0.25,1.0,1.0,0.008016032064128256
2019-05-06,-0.25,-0.6950503690954208,0.625,0.875,0.8571428571428571,-0.75,-2.5641311387455517,0.25,1.0,1.0,0.012024048096192385
2019-05-07,-0.25,-1.110742536407805,0.5,0.75,0.7142857142857143,-0.625,-2.4781390932691467,0.25,0.875,0.8571428571428571,0.01603206412825651
2019-05-08,-0.125,-0.3949542048957242,0.625,0.75,0.7142857142857143,-0.625,-2.123637029990843,0.25,0.875,0.8571428571428571,0.01603206412825651
2019-05-09,-0.125,-0.46438541794391225,0.625,0.75,0.7142857142857143,-0.5,-1.906495369781858,0.375,0.875,0.8571428571428571,0.012024048096192385
2019-05-10,-0.125,-0.41583343545925533,0.625,0.75,0.7142857142857143,-0.5,-1.891462621607881,0.375,0.875,0.8571428571428571,0.01002004008016032
2019-05-13,-0.25,-0.4581530641178951,0.5,0.75,0.7142857142857143,-0.375,-1.5249433595003339,0.5,0.875,0.8571428571428571,0.04008016032064128
2019-05-14,-0.375,-0.7341801016796822,0.5,0.875,0.8571428571428571,-0.5,-1.6507065200216269,0.375,0.875,0.8571428571428571,0.04408817635270541
2019-05-15,-0.25,-0.7627786333331343,0.625,0.875,0.8571428571428571,-0.375,-1.528579872751271,0.5,0.875,0.8571428571428571,0.04208416833667335
2019-05-16,-0.25,-1.023701382413871,0.625,0.875,0.8571428571428571,-0.625,-1.6517633360828206,0.375,1.0,1.0,0.03006012024048096
2019-05-17,-0.25,-0.8754401497636756,0.625,0.875,0.8571428571428571,-0.5,-1.5246443928743836,0.5,1.0,1.0,0.05410821643286573
2019-05-20,-0.25,-0.9082642948051339,0.625,0.875,0.8571428571428571,-0.5,-1.4606776080910862,0.5,1.0,1.0,0.06412825651302605
2019-05-21,-0.375,-1.0055983099187769,0.5,0.875,0.8571428571428571,-0.5,-1.3435769242756945,0.5,1.0,1.0,0.06212424849699399
2019-05-22,-0.25,-0.9538343251038922,0.625,0.875,0.8571428571428571,-0.5,-1.5270891136995655,0.5,1.0,1.0,0.02404809619238477
2019-05-23,-0.25,-0.8248742588508554,0.625,0.875,0.8571428571428571,-0.5,-1.5144125653155867,0.5,1.0,1.0,0.03807615230460922
2019-05-24,-0.375,-0.7247301726868314,0.5,0.875,0.8571428571428571,-0.375,-1.3219788724280381,0.5,0.875,0.8571428571428571,0.036072144288577156
2019-05-27,-0.375,-0.6510530443810599,0.5,0.875,0.8571428571428571,-0.375,-1.3232913619437108,0.5,0.875,0.8571428571428571,0.03206412825651302
2019-05-28,-0.375,-0.6408508306616648,0.5,0.875,0.8571428571428571,-0.375,-1.4978515430606132,0.5,0.875,0.8571428571428571,0.018036072144288578
2019-05-29,-0.375,-0.8137076268928846,0.5,0.875,0.8571428571428571,-0.375,-1.590144092668976,0.5,0.875,0.8571428571428571,0.01002004008016032
2019-05-30,-0.25,-0.3072949315173408,0.5,0.75,0.7142857142857143,-0.375,-1.7618785244331725,0.5,0.875,0.8571428571428571,0.008016032064128256
2019-05-31,-0.125,-0.27836622532971356,0.625,0.75,0.7142857142857143,-0.375,-1.5624656455514807,0.5,0.875,0.8571428571428571,0.01603206412825651
2019-06-03,-0.125,-0.0723921956709783,0.625,0.75,0.7142857142857143,-0.375,-1.406354329031431,0.5,0.875,0.8571428571428571,0.018036072144288578
2019-06-04,-0.25,-0.15761627177061222,0.5,0.75,0.7142857142857143,-0.375,-1.3513971396271927,0.5,0.875,0.8571428571428571,0.01603206412825651
2019-06-05,-0.125,-0.43703023659490814,0.625,0.75,0.7142857142857143,-0.375,-1.5418453574325595,0.5,0.875,0.8571428571428571,0.008016032064128256
2019-06-06,-0.125,-0.11369336303534752,0.625,0.75,0.7142857142857143,-0.25,-0.905591126931209,0.5,0.75,0.7142857142857143,0.008016032064128256
2019-06-07,0.125,0.017192923524036285,0.625,0.5,0.42857142857142855,-0.25,-0.891422165447791,0.5,0.75,0.7142857142857143,0.012024048096192385
2019-06-10,-0.125,-0.08497877412808882,0.5,0.625,0.5714285714285714,-0.25,-0.9658042205247696,0.5,0.75,0.7142857142857143,0.0
2019-06-11,-0.125,-0.10670918713024485,0.5,0.625,0.5714285714285714,-0.25,-0.9165724794171289,0.5,0.75,0.7142857142857143,0.002004008016032064
2019-06-12,-0.375,-0.5261336714214944,0.5,0.875,0.8571428571428571,-0.25,-0.9821243156212849,0.5,0.75,0.7142857142857143,0.0
2019-06-13,-0.25,-0.4077676906582295,0.5,0.75,0.7142857142857143,-0.375,-1.1039285181788498,0.5,0.875,0.8571428571428571,0.0
2019-06-14,-0.25,-0.3597230622419793,0.5,0.75,0.7142857142857143,-0.375,-1.2740863088048222,0.5,0.875,0.8571428571428571,0.008016032064128256
2019-06-17,-0.375,-0.3209450547612497,0.5,0.875,0.8571428571428571,-0.375,-1.3659461439477902,0.5,0.875,0.8571428571428571,0.008016032064128256
2019-06-18,-0.25,-0.2782685810023942,0.5,0.75,0.7142857142857143,-0.375,-1.3886113269575795,0.5,0.875,0.8571428571428571,0.01002004008016032
2019-06-19,-0.125,-0.07519632618021954,0.5,0.625,0.5714285714285714,-0.125,-1.068367964254377,0.5,0.625,0.5714285714285714,0.01603206412825651
2019-06-20,0.125,0.2772551947128201,0.625,0.5,0.42857142857142855,-0.125,-0.8742996835149164,0.5,0.625,0.5714285714285714,0.01603206412825651
2019-06-21,0.25,0.6158884006978544,0.75,0.5,0.42857142857142855,-0.25,-0.9212332346808285,0.5,0.75,0.7142857142857143,0.04008016032064128
2019-06-24,0.25,0.760101141693584,0.75,0.5,0.42857142857142855,-0.25,-0.7952436922724867,0.375,0.625,0.5714285714285714,0.056112224448897796
2019-06-25,0.25,0.64858868781956,0.75,0.5,0.42857142857142855,-0.375,-0.9094368689284533,0.375,0.75,0.7142857142857143,0.06212424849699399
2019-06-26,0.125,0.5588253376571616,0.625,0.5,0.42857142857142855,-0.25,-0.9486678319195689,0.375,0.625,0.5714285714285714,0.11222444889779559
2019-06-27,0.125,0.6232295625703139,0.625,0.5,0.42857142857142855,-0.25,-1.0618683389736456,0.375,0.625,0.5714285714285714,0.12024048096192384
2019-06-28,0.125,0.709826019394369,0.625,0.5,0.42857142857142855,-0.25,-1.2002845218298863,0.375,0.625,0.5714285714285714,0.07414829659318638
2019-07-01,0.125,0.12510167066295758,0.625,0.5,0.42857142857142855,-0.375,-1.38511866498101,0.375,0.75,0.7142857142857143,0.08216432865731463
2019-07-02,0.125,0.10877437073522661,0.625,0.5,0.42857142857142855,-0.25,-1.3269097748922762,0.375,0.625,0.5714285714285714,0.10420841683366733
2019-07-03,0.125,0.021817704010435746,0.625,0.5,0.42857142857142855,-0.25,-1.1935638671711524,0.375,0.625,0.5714285714285714,0.12424849699398798
2019-07-04,0.125,0.1132485033946572,0.625,0.5,0.42857142857142855,-0.25,-1.0658301664689036,0.375,0.625,0.5714285714285714,0.1062124248496994
2019-07-05,-0.125,-0.27196416540213925,0.5,0.625,0.5714285714285714,-0.25,-1.2462170309256952,0.375,0.625,0.5714285714285714,0.1282565130260521
2019-07-08,-0.125,-0.3228168421587051,0.5,0.625,0.5714285714285714,-0.25,-1.381087879147191,0.375,0.625,0.5714285714285714,0.08016032064128256
2019-07-09,-0.125,-0.2764314737860611,0.5,0.625,0.5714285714285714,-0.25,-1.2383804156041074,0.375,0.625,0.5714285714285714,0.08617234468937876
2019-07-10,-0.125,-0.15769782678219058,0.5,0.625,0.5714285714285714,-0.25,-1.1014552624617044,0.375,0.625,0.5714285714285714,0.08016032064128256
2019-07-11,0.125,0.08211234347793686,0.625,0.5,0.42857142857142855,-0.25,-1.2003667426260591,0.375,0.625,0.5714285714285714,0.07414829659318638
2019-07-12,0.25,0.08644646439723216,0.625,0.375,0.2857142857142857,-0.25,-1.366071686011097,0.375,0.625,0.5714285714285714,0.050100200400801605
2019-07-15,0.125,0.010653662786008905,0.5,0.375,0.2857142857142857,-0.25,-1.3643015928038755,0.375,0.625,0.5714285714285714,0.06813627254509018
2019-07-16,-0.125,-0.04693115583209018,0.375,0.5,0.42857142857142855,-0.25,-1.3817419749108821,0.375,0.625,0.5714285714285714,0.07014028056112225
2019-07-17,0.125,0.26041678665209567,0.5,0.375,0.2857142857142857,-0.375,-1.438566882214828,0.375,0.75,0.7142857142857143,0.04809619238476954
2019-07-18,0.25,0.5746007957218894,0.5,0.25,0.14285714285714285,-0.125,-1.1865852891396351,0.375,0.5,0.42857142857142855,0.04809619238476954
2019-07-19,0.25,0.27268802423905325,0.5,0.25,0.14285714285714285,-0.25,-1.3977966118146392,0.375,0.625,0.5714285714285714,0.03206412825651302
2019-07-22,0.125,0.09545768832933932,0.5,0.375,0.2857142857142857,-0.375,-1.563193237517634,0.375,0.75,0.7142857142857143,0.02004008016032064
2019-07-23,-0.125,-0.2438151695518605,0.375,0.5,0.42857142857142855,-0.375,-1.5593868281339314,0.375,0.75,0.7142857142857143,0.02404809619238477
2019-07-24,-0.125,-0.21846736490277416,0.375,0.5,0.42857142857142855,-0.375,-1.5249409972756396,0.375,0.75,0.7142857142857143,0.004008016032064128
2019-07-25,-0.125,-0.10071102002588886,0.375,0.5,0.42857142857142855,-0.375,-1.4589821755606636,0.375,0.75,0.7142857142857143,0.014028056112224449
2019-07-26,-0.25,-0.2632649644360715,0.375,0.625,0.5714285714285714,-0.375,-1.409551888297204,0.375,0.75,0.7142857142857143,0.03206412825651302
2019-07-29,-0.125,-0.15747027982950296,0.375,0.5,0.42857142857142855,-0.375,-1.2163105148855786,0.375,0.75,0.7142857142857143,0.06613226452905811
2019-07-30,-0.125,-0.11850501055320016,0.375,0.5,0.42857142857142855,-0.375,-1.1815245057260033,0.375,0.75,0.7142857142857143,0.06813627254509018
2019-07-31,-0.25,-0.39871248576877916,0.375,0.625,0.5714285714285714,-0.5,-1.479919362407375,0.375,0.875,0.8571428571428571,0.08016032064128256
2019-08-01,-0.25,-0.40846049592214284,0.375,0.625,0.5714285714285714,-0.375,-1.1307105689339767,0.375,0.75,0.7142857142857143,0.18036072144288579
2019-08-02,-0.25,-0.35678835006709353,0.375,0.625,0.5714285714285714,-0.375,-0.798593915755917,0.375,0.75,0.7142857142857143,0.20440881763527055
2019-08-05,-0.125,-0.03499445433514592,0.5,0.625,0.5714285714285714,-0.375,-0.47825160819429235,0.375,0.75,0.7142857142857143,0.3226452905811623
2019-08-06,-0.125,-0.018205860627526535,0.5,0.625,0.5714285714285714,-0.25,-0.39461843234774435,0.5,0.75,0.7142857142857143,0.36072144288577157
