date,non_commercial_long,non_commercial_short,open_interest
2019-04-02,1608,1041,27768
2019-04-09,1700,611,27797
2019-04-16,2203,433,28394
2019-04-23,1624,0,23370
2019-04-30,2714,0,24067
2019-05-07,2743,0,24571
2019-05-14,4851,996,26438
2019-05-21,5054,996,26784
2019-05-28,6088,957,27427
2019-06-04,4404,957,27384
2019-06-11,3739,947,27094
2019-06-18,5057,957,28648
2019-06-25,5220,957,25302
2019-07-02,5064,935,25337
2019-07-09,6593,950,26856
2019-07-16,7228,940,27653
2019-07-23,8040,940,28062
2019-07-30,6686,937,26937
2019-08-06,5883,980,26379
2019-08-13,6226,407,25450
2019-08-20,5989,0,24899
2019-08-27,5598,0,24455
2019-09-03,5122,0,23971
2019-09-10,4769,0,28501
2019-09-17,3287,1712,28840
2019-09-24,939,2559,25647
2019-10-01,790,990,23033
2019-10-08,1124,890,22834
2019-10-15,0,1839,21703
2019-10-22,528,3324,22716
2019-10-29,0,1555,22047
2019-11-05,0,2091,21866
2019-11-12,0,1920,22062
2019-11-19,448,1843,22481
2019-11-26,448,1703,22562
2019-12-03,448,3991,23734
2019-12-10,0,3873,27942
2019-12-17,0,5237,28753
2019-12-24,845,3999,23580
2019-12-31,2293,0,22832
2020-01-07,2874,0,23229
2020-01-14,845,2919,22585
2020-01-21,859,4827,23148
2020-01-28,3715,586,25127
2020-02-04,859,4065,23841
2020-02-11,856,3819,23488
2020-02-18,5875,0,26199
2020-02-25,2055,0,23001
2020-03-03,1946,0,22266
2020-03-10,4148,0,24540
2020-03-17,38965,101775,588116
2020-03-24,43370,85717,571086
2020-03-31,43712,79721,551752
2020-04-07,0,3842,21364
2020-04-14,0,3470,21205
2020-04-21,0,4265,22171
2020-04-28,0,3924,22091
2020-05-05,54435,78604,541624
2020-05-12,51313,78126,547329
2020-05-19,48455,79962,547206
2020-05-26,0,4472,22871
2020-06-02,0,4522,23212
2020-06-09,0,5131,25066
2020-06-16,0,5462,23236
2020-06-23,0,5986,23511
2020-06-30,0,5885,24041
2020-07-07,0,4508,23701
2020-07-14,0,3726,23432
2020-07-21,0,4254,23392
2020-07-28,0,4095,23236
2020-08-04,0,5151,23970
2020-08-11,0,5036,24287
2020-08-18,0,5352,24606
2020-08-25,0,5587,24750
2020-09-01,0,5307,24496
2020-09-08,0,4617,24671
2020-09-15,395,6223,24623
2020-09-22,0,6835,24504
2020-09-29,77163,48037,655912
2020-10-06,0,6582,24817
2020-10-13,0,6621,24699
2020-10-20,0,6406,24708
2020-10-27,3322,0,19619
2020-11-03,4097,0,19660
2020-11-10,0,6202,24547
2020-11-17,0,5884,24424
2020-11-24,422,5644,24758
2020-12-01,944,5103,25476
2020-12-08,72412,58873,683351
2020-12-15,0,79,17981
2020-12-21,0,516,16757
2020-12-29,0,518,16698
2021-01-05,0,419,16914
2021-01-12,0,0,17092
2021-01-19,0,6385,26400
2021-01-26,466,4437,24433
2021-02-02,1165,3366,25395
2021-02-09,2055,2796,26876
2021-02-16,0,1986,17619
2021-02-23,1000,3285,18742
2021-03-02,500,2734,18484
2021-03-09,500,2911,20457
2021-03-16,500,3738,22707
2021-03-23,0,3556,25824
2021-03-30,1094,1545,21157
2021-04-06,1157,1545,21113
2021-04-13,1309,1545,21477
2021-04-20,2361,1545,23679
2021-04-27,2514,1545,23695
2021-05-04,2469,1545,23049
2021-05-11,2489,1545,23092
2021-05-18,2612,1545,23562
2021-05-25,2662,1545,23212
2021-06-01,2512,1545,23353
2021-06-08,2033,1545,25921
2021-06-15,2005,1545,25871
2021-06-22,2275,1545,22145
2021-06-29,3567,1545,23497
2021-07-06,7054,1545,26859
2021-07-13,7426,1545,25868
2021-07-20,7745,1545,25143
2021-07-27,12036,1545,27959
2021-08-03,12103,1545,28011
2021-08-10,12021,1545,27822
2021-08-17,13249,1545,29059
2021-08-24,13225,1545,29265
2021-08-31,12749,1545,28588
2021-09-07,11633,1545,33023
2021-09-14,11772,1545,34253
2021-09-21,7723,2205,28988
2021-09-28,6871,1545,28136
2021-10-05,7283,2057,28114
2021-10-12,6548,2309,28288
2021-10-19,1299,4563,24697
2021-10-26,665,4006,23732
2021-11-02,0,3798,23086
2021-11-09,0,3182,22815
2021-11-16,187,2285,22030
2021-11-23,2999,2285,25322
2021-11-30,4230,2285,26533
2021-12-07,5226,2285,28272
2021-12-14,6070,2285,34124
2021-12-21,2344,1545,26769
2021-12-28,2269,1545,26698
2022-01-04,2156,2907,26461
2022-01-11,0,3984,24444
2022-01-18,0,3245,24321
2022-01-25,466,3601,32674
2022-02-01,793,1545,25185
2022-02-08,0,2393,25173
2022-02-15,0,3679,24456
2022-02-22,0,3882,24307
2022-03-01,1326,1545,25769
2022-03-08,2670,1545,27109
2022-03-15,3477,1545,39119
2022-03-22,965,6034,31192
2022-03-29,885,4627,31483
2022-04-05,0,5769,23058
2022-04-12,0,4854,22559
2022-04-19,0,4881,22892
2022-04-26,0,5554,22945
2022-05-03,0,5478,23490
2022-05-10,0,6227,24057
2022-05-17,0,5276,22867
2022-05-24,1556,9615,30902
2022-05-31,0,3571,21019
2022-06-07,0,4274,22055
2022-06-14,47,5388,25149
2022-06-21,3447,1282,17470
2022-06-28,889,9085,34107
2022-07-05,4003,1282,18329
2022-07-12,4179,1282,18577
2022-07-19,3178,1282,18011
2022-07-26,3182,1282,18598
2022-08-02,4002,1282,18823
2022-08-09,4690,1282,18861
2022-08-16,5439,1282,19246
2022-08-23,5800,1177,19313
2022-08-30,4718,1177,18884
2022-09-06,2376,9455,34316
2022-09-13,2773,1177,21526
2022-09-20,889,7068,32470
2022-09-27,4010,9217,34901
2022-10-04,2729,7556,33390
2022-10-11,1404,7222,32435
2022-10-18,1666,5452,30810
2022-10-25,1595,4934,30842
2022-11-01,1628,4786,30443
2022-11-08,1001,4402,30603
2022-11-15,960,4893,31419
2022-11-22,1145,4855,31188
2022-11-29,593,3641,29920
2022-12-06,1417,3709,30342
2022-12-13,1965,4295,32152
2022-12-20,429,11701,28874
2022-12-27,429,12522,29699
2023-01-03,874,13934,31567
2023-01-10,849,13883,31657
2023-01-17,429,13736,31848
2023-01-24,429,14128,31933
2023-01-31,429,13761,31806
2023-02-07,4272,0,21537
2023-02-14,429,14374,32802
2023-02-21,870,15385,34071
2023-02-28,429,14671,33028
2023-03-07,429,15535,34283
2023-03-14,429,5124,33081
2023-03-21,429,1994,29913
2023-03-28,429,1994,29676
2023-04-04,0,2441,29744
2023-04-11,419,2440,29754
2023-04-18,507,1994,29854
2023-04-25,0,1994,29969
2023-05-02,399,1994,29694
2023-05-09,1887,1891,30435
2023-05-16,2832,2321,31584
2023-05-23,3441,1891,31944
2023-05-30,4860,1891,32875
2023-06-06,5899,2436,35689
2023-06-13,6855,2750,37595
2023-06-20,2241,0,26076
2023-06-27,0,4402,28324
2023-07-03,5124,0,23448
2023-07-11,5987,0,24241
2023-07-18,4762,0,22037
2023-07-25,3377,0,21058
2023-08-01,679,4038,28612
2023-08-08,5180,0,22445
2023-08-15,4823,0,22584
2023-08-22,4738,0,22269
2023-08-29,4595,0,22052
2023-09-05,709,2950,29558
2023-09-12,5368,1000,23569
2023-09-19,4915,1000,23336
2023-09-26,704,7222,29015
2023-10-03,752,8644,28904
2023-10-10,672,8704,29070
2023-10-17,552,9226,28810
2023-10-24,432,10563,29625
2023-10-31,0,11972,30755
2023-11-07,0,10771,29850
2023-11-14,0,10123,29778
2023-11-21,0,10115,29953
2023-11-28,425,9683,29471
2023-12-05,425,6193,29509
2023-12-12,2951,269,23391
2023-12-19,917,5414,29068
2023-12-26,827,5808,28804
2024-01-02,425,6388,28908
2024-01-09,425,6069,28845
2024-01-16,442,5140,28848
2024-01-23,442,3133,28830
2024-01-30,453,2930,29186
2024-02-06,453,2391,29386
2024-02-13,1049,1561,29808
2024-02-20,1009,2261,21713
2024-02-27,1074,2410,22509
2024-03-05,1158,2059,23467
2024-03-12,1006,1347,26129
2024-03-19,1093,2167,27908
2024-03-26,436,4815,31212
2024-04-02,918,732,22933
2024-04-09,1500,1673,23353
2024-04-16,1022,1152,22659
2024-04-23,964,400,22355
2024-04-30,841,1232,22074
2024-05-07,0,5546,31552
2024-05-14,0,7068,31850
2024-05-21,0,6178,31649
2024-05-28,0,5279,31698
2024-06-04,974,537,21959
2024-06-11,1631,838,24865
2024-06-18,1522,819,28725
2024-06-25,0,3296,26506
2024-07-02,0,3500,27465
2024-07-09,0,2916,26962
2024-07-16,0,3324,27289
2024-07-23,0,3708,27278
2024-07-30,0,3912,27520
2024-08-06,446,7782,28148
2024-08-13,0,13211,26628
2024-08-20,0,14661,27382
2024-08-27,0,12883,27227
2024-09-03,2655,11021,31392
2024-09-10,828,8763,30955
2024-09-17,919,7242,29654
2024-09-24,946,7218,30452
2024-10-01,481,7916,31219
2024-10-08,509,6850,31033
2024-10-15,613,6473,31440
2024-10-22,599,5607,31575
2024-10-29,1158,4569,32487
2024-11-05,1124,3435,32098
2024-11-12,1474,3537,32882
2024-11-19,1365,2433,32095
2024-11-26,1136,5251,32458
2024-12-03,1385,6134,33120
2024-12-10,1241,7448,34463
2024-12-17,1202,2734,30631
2024-12-24,1202,3924,30760
2024-12-31,1202,4170,30733
2025-01-07,1565,4075,31134
2025-01-14,547,3960,31204
2025-01-21,1374,5931,31512
2025-01-28,1061,7841,31282
2025-02-04,1091,7679,32173
2025-02-11,1219,7373,33026
2025-02-18,578,6825,32759
2025-02-25,1562,6325,33798
2025-03-04,1843,6513,33496
2025-03-11,2141,7193,37311
2025-03-18,2113,4773,31900
2025-03-25,1828,4233,32494
2025-04-01,1870,2938,32393
2025-04-08,2310,6604,33579
2025-04-15,3023,11996,36975
2025-04-22,3150,11545,36302
2025-04-29,2579,11169,35682
2025-05-06,1284,10973,35837
2025-05-13,1052,8106,33495
2025-05-20,527,4545,32371
2025-05-27,1298,3650,33443
2025-06-03,1020,2903,31287
2025-06-10,584,2412,32641
2025-06-17,0,4600,32105
2025-06-24,0,8086,32168
2025-07-01,1430,11826,36700
2025-07-08,1400,13996,38647
2025-07-15,1303,12030,35438
2025-07-22,2296,13819,38587
2025-07-29,2450,14276,39546
2025-08-05,3097,13761,38716
2025-08-12,3847,15982,40526
2025-08-19,3854,15813,40851
2025-08-26,602,0,16122
2025-09-02,3369,15348,39479
2025-09-09,3545,15807,41068
2025-09-16,973,0,17226
2025-09-23,1595,0,16836
2025-09-30,3283,6003,38291
2025-10-07,1706,0,17620
2025-10-14,3159,0,19273
2025-10-21,2545,0,19346
2025-10-28,3451,0,19519
2025-11-04,2575,0,19093
2025-11-10,3270,0,19294
2025-11-18,3269,0,19536
2025-11-25,2555,598,18014
2025-12-02,2925,626,18192
2025-12-09,2952,871,20378
2025-12-16,2616,1033,20048
2025-12-23,1826,0,17767
2025-12-30,1365,0,17410
